#Serial	Status
319	WP_253523639.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024158505.1
320	WP_225117937.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020194175.1
321	WP_235810370.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001400235.1
322	WP_216500629.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018919385.1
323	WP_198866304.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016406165.1
324	WP_216945356.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019046925.1
325	WP_103873782.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900108245.1
326	WP_259988776.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025141935.1
327	WP_259955292.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025140475.1
328	WP_083195283.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001691415.1
329	WP_159069271.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001299265.1
330	WP_184711084.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014207855.1
331	WP_082143552.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001043115.1
332	WP_150892191.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008725615.1
333	WP_279402171.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001310435.1
334	WP_131578523.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004335005.1
335	WP_248106329.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023152535.1
336	WP_259608535.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024989635.1
337	WP_286133308.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002752555.1
338	WP_243677254.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900004845.1
339	WP_247047222.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023060545.1
340	WP_068699586.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001675945.1
341	WP_087820668.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900185565.1
342	WP_032273289.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000619505.1
343	WP_281436679.1 Failed :  No record for accession WP_281436679.1
344	WP_241231019.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022973495.1
345	WP_216054690.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018860345.1
346	WP_140139286.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006369265.1
347	WP_238849048.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022290295.1
348	WP_112214321.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026735415.2
349	WP_279348377.1 Failed :  No record for accession WP_279348377.1
350	WP_228510416.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015351355.1
351	WP_054983900.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001400005.1
352	WP_067891357.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001666955.1
353	WP_263424147.1 Failed :  No record for accession WP_263424147.1
354	WP_195210401.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009650215.1
355	WP_021755999.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000470775.1
356	WP_139467125.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006335025.1
357	WP_256275297.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_916050205.1
358	WP_127842173.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004010955.1
359	WP_039901077.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000469385.1
360	WP_187471329.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014352895.1
361	WP_107810490.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003044845.1
362	WP_147368180.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000691645.1
363	WP_218689314.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019279065.1
364	WP_111696308.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900477945.1
365	WP_007025191.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000231035.2
366	WP_129902407.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004155045.1
367	WP_117793402.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003467065.1
368	WP_140557650.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006408715.1
369	WP_217957043.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024623015.1
370	WP_288270710.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902760715.1
371	WP_256126086.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024463835.1
372	WP_087070389.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900155575.1
373	WP_283217004.1 Failed :  No record for accession WP_283217004.1
374	WP_004128604.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000263595.1
375	WP_248911794.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023277645.1
376	WP_159074100.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003055835.1
377	WP_161624651.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000429205.1
378	WP_279056255.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025993295.1
379	WP_124912357.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003858505.1
380	WP_256821235.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024519835.1
381	WP_276550420.1 Failed :  No record for accession WP_276550420.1
382	WP_074341457.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900131645.1
383	WP_256932046.1 Failed :  No record for accession WP_256932046.1
384	WP_068207156.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001634385.1
385	WP_080312267.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000612055.1
386	WP_137769586.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005490785.1
387	WP_195027590.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029867795.1
388	WP_246613623.1 Failed :  No record for accession WP_246613623.1
389	WP_254900634.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002091955.1
390	WP_068329446.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001593285.1
391	WP_169960253.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012985595.1
392	WP_080479721.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900105295.1
393	WP_079758261.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001516005.1
394	WP_277691438.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029537485.1
395	WP_178956280.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013394125.1
396	WP_284137122.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030135505.1
397	WP_148494410.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008083255.1
398	WP_219017024.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019295365.2
399	WP_282862481.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030020875.1
400	WP_064160947.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902156825.1
401	WP_270204973.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027661145.1
402	WP_077182844.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001976065.1
403	WP_171904002.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001757785.1
404	WP_088187061.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002196785.1
405	WP_052036231.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000714935.1
406	WP_050925328.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_945952255.1
407	WP_283106468.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023283805.1
408	WP_076362842.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900155975.1
409	WP_150578154.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902459565.1
410	WP_049098437.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902833135.1
411	WP_174902184.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902499075.1
412	WP_115621327.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900446865.1
413	WP_010516946.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000220585.1
414	WP_162864689.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_901212435.1
415	WP_147755622.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008014695.1
416	WP_015592132.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001636415.1
417	WP_006597234.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900476055.1
418	WP_044678147.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900058005.1
419	WP_075231162.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001811505.1
420	WP_148023845.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008016805.1
421	WP_076707751.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001975955.2
422	WP_280496272.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029869765.1
423	WP_084592952.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001544615.1
424	WP_193756367.1 Failed :  No record for accession WP_193756367.1
425	WP_196389712.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015709065.1
426	WP_159024747.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002803175.1
427	WP_172237742.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014635605.1
428	WP_098500341.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002564815.1
429	WP_230193286.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_918697855.1
430	WP_185879880.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014250685.1
431	WP_014553288.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000165465.1
432	WP_141922077.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006715545.1
433	WP_080631316.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000354715.1
434	WP_031830702.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000510605.2
435	WP_273975955.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028615095.1
436	WP_144502194.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007665345.1
437	WP_197360006.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015912105.1
438	WP_069479101.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001723605.1
439	WP_255178606.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024362205.1
440	WP_279973034.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029835225.1
441	WP_256772431.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024518635.1
442	WP_259763504.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_259763504.1 in Assembly ID GCA_019702485.1
443	WP_010606847.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000259115.1
444	WP_186701866.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014283915.1
445	WP_229628661.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_905331605.1
446	WP_122756451.1 Failed :  No record for accession WP_122756451.1
447	WP_233851220.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021390635.1
448	WP_183897673.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014196515.1
449	WP_247605352.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018067825.1
450	WP_139810703.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002095475.1
451	WP_263950423.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025790845.1
452	WP_153690862.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009648975.1
453	WP_063676229.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001641695.1
454	WP_117582309.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003435475.1
455	WP_244851883.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022919715.1
456	WP_241245119.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_011046975.1
457	WP_094605941.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002257705.1
458	WP_050742181.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000009905.1
459	WP_002620797.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000335475.2
460	WP_224575459.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020166395.1
461	WP_052212111.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017635315.1
462	WP_049945863.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000424385.1
463	WP_121247010.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003633755.1
464	WP_164755425.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003998165.1
465	WP_186130195.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902831965.1
466	WP_191629809.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902498275.1
467	WP_077200576.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002140055.1
468	WP_058081311.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_058081311.1 in Assembly ID GCA_001447075.1
469	WP_069113102.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900106035.1
470	WP_065916210.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001701025.1
471	WP_148601114.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008107445.1
472	WP_168709278.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004798705.1
473	WP_090587237.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900099735.1
474	WP_255867032.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024385465.1
475	WP_283529781.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030063205.1
476	WP_051613150.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000686025.1
477	WP_188491436.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014635305.1
478	WP_034986568.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000738175.1
479	WP_288814159.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_943913715.1
480	WP_112770050.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003285565.1
481	WP_016459313.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000411375.1
482	WP_259157640.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024834055.1
483	WP_273114977.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_905370355.1
484	WP_020935123.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000442645.1
485	WP_053412388.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001274895.1
486	WP_198304877.1 Failed :  No record for accession WP_198304877.1
487	WP_012731419.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016889365.1
488	WP_051574325.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000620625.1
489	WP_091126147.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900112345.1
490	WP_248258574.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023148685.1
491	WP_070190166.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001758225.1
492	WP_109697346.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003160695.1
493	WP_131585033.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004337475.1
494	WP_183595704.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014191495.1
495	WP_123270727.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003724155.1
496	WP_163770767.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_010686755.1
497	WP_115922229.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003386865.1
498	WP_278044318.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002938435.1
499	WP_020390618.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000372465.1
500	WP_179425070.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021729195.1
501	WP_121485791.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003640665.1
502	WP_234304554.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021432745.1
503	WP_173910227.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902809855.1
504	WP_180043206.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013420305.1
505	WP_243792522.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022819285.1
506	WP_241178223.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022540365.1
507	WP_073188218.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900141705.1
508	WP_073205701.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900142525.1
509	WP_218154489.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900115435.1
510	WP_287045965.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004555905.1
511	WP_049895778.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000424445.1
512	WP_233111183.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021311115.1
513	WP_290346917.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030409595.1
514	WP_241306348.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022549615.1
515	WP_065076684.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001675165.1
516	WP_044307556.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000935235.1
517	WP_276217172.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029335535.1
518	WP_007934929.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000282195.1
519	WP_239930634.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022397675.1
520	WP_163920457.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900537155.1
521	WP_252069873.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023750345.1
522	WP_200924458.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015136055.1
523	WP_109910726.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003175495.1
524	WP_128994751.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004116335.1
525	WP_025580561.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000489155.1
526	WP_236319226.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025755875.1
527	WP_289914732.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030397735.1
528	WP_012722886.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_012722886.1 in Assembly ID GCA_020093345.1
529	WP_137218384.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005233505.1
530	WP_168193465.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001908235.1
531	WP_136809613.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005116655.2
532	WP_082455151.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001299265.1
533	WP_169269643.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012928505.1
534	WP_081272587.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030519155.1
535	WP_168265506.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012276075.1
536	WP_226890445.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006439395.2
537	WP_152005923.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902498735.1
538	WP_213301325.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018413525.1
539	WP_207253335.1 Failed :  No record for accession WP_207253335.1
540	WP_188380547.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014635705.1
541	WP_046304945.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000973155.1
542	WP_186883462.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014284215.1
543	WP_015403653.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000341395.1
544	WP_182322672.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014109725.1
545	WP_172594549.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003573545.1
546	WP_282036536.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_947489045.1
547	WP_054202084.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001298405.1
548	WP_258626369.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024746995.1
549	WP_089180648.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002220575.1
550	WP_165769003.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002239955.1
551	WP_133461109.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004361715.1
552	WP_057421557.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001538055.1
553	WP_258614751.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024748615.1
554	WP_268311252.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026792445.1
555	WP_055093682.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001404975.1
556	WP_195993818.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015670895.1
557	WP_221710602.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019734325.1
558	WP_050638173.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001244545.1
559	WP_221718325.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025289135.1
560	WP_186208241.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902832455.1
561	WP_071624058.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030518845.1
562	WP_027808779.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000689595.1
563	WP_095088670.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002270415.1
564	WP_116570078.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003094595.1
565	WP_172373857.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013170765.1
566	WP_067202017.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001586275.1
567	WP_277987189.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017303135.1
568	WP_126267285.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003962175.1
569	WP_263682861.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025772985.1
570	WP_134043826.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004368255.1
571	WP_086296197.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002139625.1
572	WP_285256149.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030249885.1
573	WP_057507828.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001431535.1
574	WP_180314196.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021352955.1
575	WP_133602004.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004362405.1
576	WP_231392321.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015826325.1
577	WP_219726489.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002890915.1
578	WP_244105808.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902829485.1
579	WP_198578708.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016135805.1
580	WP_278673060.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_910584135.1
581	WP_198430633.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000299875.1
582	WP_180964742.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002871435.1
583	WP_081590981.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025152225.1
584	WP_051420936.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000514155.1
585	WP_170285638.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008710745.1
586	WP_169998592.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012952295.1
587	WP_276003853.1 Failed :  No record for accession WP_276003853.1
588	WP_259905424.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025151745.1
589	WP_155418945.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028437425.1
590	WP_226521039.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003987785.1
591	WP_204087290.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030217185.1
592	WP_249606165.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030175865.1
593	WP_070669711.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016889985.1
594	WP_256380917.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001814945.1
595	WP_284785842.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030227225.1
596	WP_083299181.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001809405.1
597	WP_136206952.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004795035.1
598	WP_071379584.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001866665.1
599	WP_128818698.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002832675.1
600	WP_101673981.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002861455.1
601	WP_266317307.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026339535.1
602	WP_256856367.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002003445.1
603	WP_239208937.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030232125.1
604	WP_224212941.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020097655.1
605	WP_239307333.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022345915.1
606	WP_186302206.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007666555.1
607	WP_236589284.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016728645.1
608	WP_005288661.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024453835.1
609	WP_173736281.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013304475.1
610	WP_026911031.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000519325.1
611	WP_235701231.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021555035.1
612	WP_052470589.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000828495.1
613	WP_129134562.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004119855.1
614	WP_098808778.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002577195.1
615	WP_269481608.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027306445.1
616	WP_165976409.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004358205.1
617	WP_098435177.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_098435177.1 in Assembly ID GCA_002564415.1
618	WP_098838172.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002577255.1
619	WP_170187003.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012843705.1
620	WP_007286043.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005845095.1
621	WP_228416889.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020809405.1
622	WP_134114733.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004365685.1
623	WP_217740331.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019132235.1
624	WP_136580203.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004834005.1
625	WP_107174954.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003026715.1
626	WP_130241190.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004214665.1
627	WP_162901873.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003491245.1
628	WP_197931107.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016026615.1
629	WP_138489259.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005877035.1
630	WP_226253152.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020419005.1
631	WP_181162766.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902832305.1
632	WP_159426424.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001547895.1
633	WP_208892809.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001997225.1
634	WP_219258952.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019351665.1
635	WP_176377179.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002191075.1
636	WP_088900548.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002215245.1
637	WP_139559809.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006175985.1
