#Serial	Query	Assembly_Found	FlankingGene_Found
727	WP_283021143.1	Yes	Yes
728	WP_212208606.1	Yes	Yes
729	WP_158003642.1	Yes	Yes
730	WP_246728588.1	Yes	Yes
731	WP_287297087.1	Yes	Yes
732	WP_150705010.1	Yes	Yes
733	WP_244986302.1	Yes	Yes
734	WP_001033085.1	Yes	Yes
735	WP_099428091.1	No: ProteinID was not found in Genome Assembly	No
736	WP_025129203.1	Yes	Yes
737	WP_071534925.1	Yes	Yes
738	WP_198712493.1	Yes	Yes
739	WP_112404918.1	Yes	Yes
740	WP_192838605.1	Yes	Yes
741	WP_233112555.1	Yes	Yes
742	WP_286315408.1	Yes	Yes
743	WP_070822341.1	Yes	Yes
744	WP_063158476.1	Yes	Yes
745	WP_105655643.1	Yes	Yes
746	WP_161451785.1	Yes	Yes
747	WP_250907813.1	Yes	Yes
748	WP_149208096.1	Yes	Yes
749	WP_221556067.1	No: ProteinID was not found in Genome Assembly	No
750	WP_014821705.1	Yes	Yes
751	WP_100150293.1	Yes	Yes
752	WP_108131657.1	Yes	Yes
753	WP_063545398.1	Yes	Yes
754	WP_227749230.1	Yes	Yes
755	WP_253577417.1	Yes	Yes
756	WP_287364820.1	Yes	Yes
757	WP_256368859.1	Yes	Yes
758	WP_087786671.1	No: ProteinID was not found in Genome Assembly	No
759	WP_122267928.1	Yes	Yes
760	WP_254949469.1	Yes	Yes
761	WP_255972675.1	Yes	Yes
762	WP_126192002.1	Yes	Yes
763	WP_235471376.1	Yes	Yes
764	WP_025632655.1	Yes	Yes
765	WP_239969815.1	Yes	Yes
766	WP_063323005.1	Yes	Yes
767	WP_279774001.1	Yes	Yes
768	WP_287946910.1	Yes	Yes
769	WP_239845575.1	Yes	Yes
770	WP_130598019.1	Yes	Yes
771	WP_137225975.1	Yes	Yes
772	WP_065108730.1	Yes	Yes
773	WP_235086273.1	Yes	Yes
774	WP_286996168.1	Yes	Yes
775	WP_248937397.1	Yes	Yes
776	WP_155684179.1	Yes	Yes
777	WP_001901077.1	No: ProteinID was not found in Genome Assembly	No
778	WP_088125739.1	Yes	Yes
779	WP_107306842.1	Yes	Yes
780	WP_089122465.1	Yes	Yes
781	WP_045028828.1	Yes	Yes
782	WP_086368211.1	Yes	Yes
783	WP_007464139.1	Yes	Yes
784	WP_187460945.1	Yes	Yes
785	WP_028866211.1	Yes	Yes
786	WP_101036766.1	Yes	Yes
787	WP_158134280.1	Yes	Yes
788	WP_105061998.1	Yes	Yes
789	WP_136862355.1	Yes	Yes
790	WP_219172610.1	Yes	Yes
791	WP_067045712.1	Yes	Yes
792	WP_107211827.1	Yes	Yes
793	WP_046303308.1	Yes	Yes
794	WP_272479229.1	Yes	Yes
795	WP_061310512.1	Yes	Yes
796	WP_186899847.1	Yes	Yes
797	WP_177980917.1	No: ProteinID was not found in Genome Assembly	No
798	WP_288775304.1	Yes	Yes
799	WP_022748998.1	Yes	Yes
800	WP_055067274.1	Yes	Yes
801	WP_113792871.1	Yes	Yes
802	WP_057490149.1	Yes	Yes
803	WP_268723372.1	Yes	Yes
804	WP_270329631.1	Yes	Yes
805	WP_155172627.1	Yes	Yes
806	WP_214253958.1	Yes	Yes
807	WP_051427889.1	No: ProteinID was not found in Genome Assembly	No
808	WP_038428495.1	Yes	Yes
809	WP_017474550.1	Yes	Yes
810	WP_225434144.1	Yes	Yes
811	WP_078177836.1	Yes	Yes
812	WP_185953856.1	Yes	Yes
813	WP_101974638.1	Yes	Yes
814	WP_239740194.1	Yes	Yes
815	WP_107391899.1	Yes	Yes
816	WP_115210242.1	Yes	Yes
817	WP_199192614.1	Yes	Yes
818	WP_268217596.1	Yes	Yes
819	WP_244149422.1	Yes	Yes
820	WP_148842555.1	Yes	Yes
821	WP_082283102.1	Yes	Yes
822	WP_233128936.1	Yes	Yes
823	WP_262443108.1	Yes	Yes
824	WP_002256969.1	Yes	Yes
825	WP_170123119.1	Yes	Yes
826	WP_269448317.1	Yes	Yes
827	WP_066023544.1	Yes	Yes
828	WP_285712789.1	Yes	Yes
829	WP_185170410.1	Yes	Yes
830	WP_021424757.1	Yes	Yes
831	WP_232900428.1	Yes	Yes
832	WP_004456558.1	Yes	Yes
833	WP_277257040.1	Yes	Yes
834	WP_237949072.1	Yes	Yes
835	WP_224169135.1	Yes	Yes
836	WP_287891347.1	Yes	Yes
837	WP_211326878.1	Yes	Yes
838	WP_009010004.1	Yes	Yes
839	WP_187620283.1	Yes	Yes
840	WP_158362366.1	Yes	Yes
841	WP_264174223.1	Yes	Yes
842	WP_135402957.1	Yes	Yes
843	WP_235920281.1	Yes	Yes
844	WP_091963742.1	Yes	Yes
845	WP_069675845.1	Yes	Yes
846	WP_117692441.1	Yes	Yes
847	WP_074356635.1	Yes	Yes
848	WP_107414718.1	Yes	Yes
849	WP_107476309.1	Yes	Yes
850	WP_078653012.1	Yes	Yes
851	WP_213011387.1	Yes	Yes
852	WP_070927952.1	Yes	Yes
853	WP_258369386.1	Yes	Yes
854	WP_157652233.1	Yes	Yes
855	WP_155745967.1	Yes	Yes
856	WP_115643201.1	Yes	Yes
857	WP_196174552.1	Yes	Yes
858	WP_017361238.1	Yes	Yes
859	WP_251577840.1	Yes	Yes
860	WP_150373009.1	Yes	Yes
861	WP_070245862.1	Yes	Yes
862	WP_105851542.1	Yes	Yes
863	WP_186055033.1	Yes	Yes
864	WP_073768062.1	Yes	Yes
865	WP_264930496.1	Yes	Yes
866	WP_173704896.1	Yes	Yes
867	WP_007863785.1	Yes	Yes
868	WP_051658235.1	Yes	Yes
869	WP_023796159.1	Yes	Yes
870	WP_013865765.1	Yes	Yes
871	WP_210464660.1	Yes	Yes
872	WP_105715750.1	Yes	Yes
873	WP_286769344.1	Yes	Yes
874	WP_224484691.1	Yes	Yes
875	WP_274278413.1	Yes	Yes
876	WP_185652541.1	Yes	Yes
877	WP_233981602.1	Yes	Yes
878	WP_271789627.1	Yes	Yes
879	WP_198195019.1	Yes	Yes
880	WP_133497623.1	Yes	Yes
881	WP_223568326.1	Yes	Yes
882	WP_243350006.1	Yes	Yes
883	WP_130725419.1	Yes	Yes
884	WP_081598868.1	Yes	Yes
885	WP_254798302.1	Yes	Yes
886	WP_250462419.1	Yes	Yes
887	WP_019138404.1	Yes	Yes
888	WP_277261434.1	Yes	Yes
889	WP_023055227.1	Yes	Yes
890	WP_084230214.1	Yes	Yes
891	WP_073182695.1	Yes	Yes
892	WP_249243137.1	Yes	Yes
893	WP_277720669.1	Yes	Yes
894	WP_093750321.1	Yes	Yes
895	WP_099336526.1	Yes	Yes
896	WP_156988371.1	Yes	Yes
897	WP_168930829.1	Yes	Yes
898	WP_284972215.1	Yes	Yes
899	WP_007789795.1	Yes	Yes
900	WP_195987800.1	Yes	Yes
901	WP_070779944.1	Yes	Yes
902	WP_272452176.1	Yes	Yes
903	WP_075809420.1	Yes	Yes
904	WP_058991911.1	Yes	Yes
905	WP_096636218.1	Yes	Yes
906	WP_170063677.1	Yes	Yes
907	WP_216437589.1	Yes	Yes
908	WP_128749648.1	Yes	Yes
909	WP_273327679.1	Yes	Yes
910	WP_188114754.1	Yes	Yes
911	WP_051931813.1	Yes	Yes
912	WP_243151921.1	Yes	Yes
913	WP_054739746.1	Yes	Yes
914	WP_235070497.1	Yes	Yes
915	WP_068369655.1	Yes	Yes
916	WP_068472471.1	Yes	Yes
917	WP_002837211.1	Yes	Yes
918	WP_046442755.1	Yes	Yes
919	WP_167850025.1	Yes	Yes
920	WP_108775728.1	Yes	Yes
921	WP_006526441.1	Yes	Yes
922	WP_078712356.1	Yes	Yes
923	WP_102266636.1	Yes	Yes
924	WP_115714866.1	Yes	Yes
925	WP_203245627.1	Yes	Yes
926	WP_288554189.1	Yes	Yes
927	WP_098478782.1	Yes	Yes
928	WP_144477536.1	Yes	Yes
929	WP_253785812.1	Yes	Yes
930	WP_286230591.1	Yes	Yes
931	WP_275276081.1	Yes	Yes
932	WP_134162591.1	Yes	Yes
933	WP_274806090.1	Yes	Yes
934	WP_025624303.1	Yes	Yes
935	WP_263269254.1	Yes	Yes
936	WP_050536697.1	Yes	Yes
937	WP_161675184.1	Yes	Yes
938	WP_058404839.1	Yes	Yes
939	WP_137482020.1	Yes	Yes
940	WP_014598312.1	Yes	Yes
941	WP_076916388.1	Yes	Yes
942	WP_080660167.1	Yes	Yes
943	WP_172791581.1	Yes	Yes
944	WP_212809881.1	Yes	Yes
945	WP_091195486.1	Yes	Yes
946	WP_133338951.1	Yes	Yes
947	WP_253844849.1	Yes	Yes
948	WP_280748852.1	Yes	Yes
949	WP_009859883.1	Yes	Yes
950	WP_265724496.1	Yes	Yes
951	WP_133711401.1	Yes	Yes
952	WP_080334781.1	Yes	Yes
953	WP_050441711.1	Yes	Yes
954	WP_147611002.1	Yes	Yes
955	WP_040351215.1	Yes	Yes
956	WP_020618621.1	Yes	Yes
957	WP_218415129.1	Yes	Yes
958	WP_249297056.1	Yes	Yes
959	WP_118691465.1	Yes	Yes
960	WP_022216223.1	Yes	Yes
961	WP_243104772.1	Yes	Yes
962	WP_215690635.1	Yes	Yes
963	WP_283684259.1	Yes	Yes
964	WP_074521525.1	Yes	Yes
965	WP_140126628.1	Yes	Yes
966	WP_141566784.1	Yes	Yes
967	WP_264542804.1	Yes	Yes
968	WP_147086737.1	Yes	Yes
969	WP_051941672.1	Yes	Yes
970	WP_080732614.1	Yes	Yes
971	WP_098392560.1	Yes	Yes
972	WP_211014130.1	Yes	Yes
973	WP_194473271.1	Yes	Yes
974	WP_223962511.1	Yes	Yes
975	WP_188999640.1	Yes	Yes
976	WP_239050881.1	Yes	Yes
977	WP_287449208.1	Yes	Yes
978	WP_080325732.1	Yes	Yes
979	WP_033170237.1	Yes	Yes
980	WP_026765244.1	Yes	Yes
981	WP_097006416.1	Yes	Yes
982	WP_072816088.1	Yes	Yes
983	WP_156666188.1	Yes	Yes
984	WP_247740778.1	Yes	Yes
985	WP_145012411.1	Yes	Yes
986	WP_165952880.1	Yes	Yes
987	WP_003395791.1	Yes	Yes
